row,col,x,y,z
54,1,1.82,1.94,0.34999999404
55,1,1.78,1.94,0.34999999404
56,1,1.74,1.94,0.34999999404
57,1,1.7,1.94,0.34999999404
58,1,1.66,1.94,0.34999999404
59,1,1.62,1.94,0.34999999404
60,1,1.58,1.94,0.34999999404
61,1,1.54,1.94,0.34999999404
62,1,1.5,1.94,0.34999999404
63,1,1.46,1.94,0.34999999404
64,1,1.42,1.94,0.34999999404
65,1,1.38,1.94,0.34999999404
66,1,1.34,1.94,0.34999999404
67,1,1.3,1.94,0.34999999404
68,1,1.26,1.94,0.34999999404
69,1,1.22,1.94,0.34999999404
70,1,1.18,1.94,0.34999999404
71,1,1.14,1.94,0.34999999404
72,1,1.1,1.94,0.34999999404
73,1,1.06,1.94,0.34999999404
74,1,1.02,1.94,0.370000004768
75,1,0.98,1.94,0.370000004768
76,1,0.94,1.94,0
77,1,0.9,1.94,0
78,1,0.86,1.94,0
79,1,0.82,1.94,0
80,1,0.78,1.94,0
81,1,0.74,1.94,0
82,1,0.7,1.94,0
83,1,0.66,1.94,0
84,1,0.62,1.94,0
85,1,0.58,1.94,0
86,1,0.54,1.94,0
87,1,0.5,1.94,0
88,1,0.46,1.94,0
89,1,0.42,1.94,0
90,1,0.38,1.94,0
91,1,0.34,1.94,0
92,1,0.3,1.94,0
93,1,0.26,1.94,0
94,1,0.22,1.94,0
95,1,0.18,1.94,0
96,1,0.14,1.94,0
97,1,0.1,1.94,0
98,1,0.06,1.94,0
99,1,0.02,1.94,0
100,1,-0.02,1.94,0
101,1,-0.06,1.94,0
102,1,-0.1,1.94,0
103,1,-0.14,1.94,0
104,1,-0.18,1.94,0
105,1,-0.22,1.94,0
106,1,-0.26,1.94,0
107,1,-0.3,1.94,0
108,1,-0.34,1.94,0
109,1,-0.38,1.94,0
110,1,-0.42,1.94,0
111,1,-0.46,1.94,0
112,1,-0.5,1.94,0
113,1,-0.54,1.94,0
114,1,-0.58,1.94,0
115,1,-0.62,1.94,0
116,1,-0.66,1.94,0
117,1,-0.7,1.94,0
118,1,-0.74,1.94,0
119,1,-0.78,1.94,0
120,1,-0.82,1.94,0
121,1,-0.86,1.94,0
122,1,-0.9,1.94,0
123,1,-0.94,1.94,0
124,1,-0.98,1.94,0
125,1,-1.02,1.94,0
126,1,-1.06,1.94,0
127,1,-1.1,1.94,0
128,1,-1.14,1.94,0
129,1,-1.18,1.94,0
130,1,-1.22,1.94,0
131,1,-1.26,1.94,0
132,1,-1.3,1.94,0
133,1,-1.34,1.94,0
134,1,-1.38,1.94,0
135,1,-1.42,1.94,0
136,1,-1.46,1.94,0
137,1,-1.5,1.94,0
138,1,-1.54,1.94,0
139,1,-1.58,1.94,0
140,1,-1.62,1.94,0
141,1,-1.66,1.94,0
142,1,-1.7,1.94,0
143,1,-1.74,1.94,0
144,1,-1.78,1.94,0
145,1,-1.82,1.94,0
146,1,-1.86,1.94,0
147,1,-1.9,1.94,0
148,1,-1.94,1.94,0
149,1,-1.98,1.94,0
150,1,-2.02,1.94,0
151,1,-2.06,1.94,0
152,1,-2.1,1.94,0
153,1,-2.14,1.94,0
154,1,-2.18,1.94,0
155,1,-2.22,1.94,0
